name,state,id,type,degree_length,room_and_board,in_state_tuition,in_state_total,out_of_state_tuition,out_of_state_total
Aaniiih Nakoda College,Montana,22,Public,2 Year,NA,2380,2380,2380,2380
Abilene Christian University,Texas,23,Private,4 Year,10350,34850,45200,34850,45200
Abraham Baldwin Agricultural College,Georgia,12,Public,2 Year,8474,4128,12602,12550,38024
Academy College,Minnesota,24,For Profit,2 Year,NA,21661,21661,21661,21661
Academy of Art University,California,6,For Profit,4 Year,16648,27810,44458,27810,44458
Adams State University,Colorado,8,Public,4 Year,8782,9440,49222,20456,29238
Adelphi University,New York,25,Private,4 Year,16030,38660,54690,38660,54690
Adirondack Community College,New York,25,Public,2 Year,11660,5375,21035,9935,38595
Adrian College,Michigan,26,Private,4 Year,11349,37087,48405,37087,48405
Advanced Technology Institute,Virginia,27,For Profit,2 Year,NA,13680,13680,13680,13680
Adventist University of Health Sciences,Florida,11,Private,4 Year,4200,15150,48350,15150,48350
Agnes Scott College,Georgia,12,Private,4 Year,12330,41160,53490,41160,53490
Aiken Technical College,South Carolina,28,Public,2 Year,NA,5160,5160,8010,8010
Aims Community College,Colorado,8,Public,2 Year,NA,2281,2281,13049,13049
Alabama Agricultural and Mechanical University,Alabama,1,Public,4 Year,8379,9698,49077,21949,26297
Alabama Southern Community College,Alabama,1,Public,2 Year,NA,4440,4440,8880,8880
Alabama State University,Alabama,1,Public,4 Year,5422,11068,16490,48396,24849
Alamance Community College,North Carolina,29,Public,2 Year,NA,2310,2310,8070,8070
Alaska Bible College,Alaska,2,Private,4 Year,5700,9300,15000,9300,15000
Alaska Pacific University,Alaska,2,Private,4 Year,7300,20830,28130,20830,28130
Albany College of Pharmacy and Health Sciences,New York,25,Private,4 Year,10920,35105,46025,35105,46025
Albany State University,Georgia,12,Public,4 Year,8878,6726,15604,48802,28680
Albany Technical College,Georgia,12,Public,2 Year,NA,3246,3246,5916,5916
Albertus Magnus College,Connecticut,9,Private,4 Year,13200,32060,45260,32060,45260
Albion College,Michigan,26,Private,4 Year,12380,45775,58155,45775,58155
Albright College,Pennsylvania,30,Private,4 Year,12070,45306,57376,45306,57376
Alcorn State University,Mississippi,31,Public,4 Year,9608,7144,16752,7144,16752
Alderson-Broaddus University,West Virginia,32,Private,4 Year,8860,27910,36770,27910,36770
Alexandria Technical and Community College,Minnesota,24,Public,2 Year,NA,5416,5416,5416,5416
Alfred University,New York,25,Private,4 Year,12516,33484,46000,33484,46000
Allan Hancock College,California,6,Public,2 Year,NA,1449,1449,7898,7898
Allegany College of Maryland,Maryland,20,Public,2 Year,NA,4140,4140,9380,9380
Allegheny College,Pennsylvania,30,Private,4 Year,13840,47540,59680,47540,59680
Allegheny Wesleyan College,Ohio,33,Private,4 Year,4000,6400,10400,6400,10400
Allen College,Iowa,34,Private,4 Year,7282,48970,27252,48970,27252
Allen County Community College,Kansas,16,Public,2 Year,5070,3150,8220,3150,8220
Allen University,South Carolina,28,Private,4 Year,7230,13340,20570,13340,20570
Alliant International University,California,6,Private,4 Year,NA,49000,49000,49000,49000
Alma College,Michigan,26,Private,4 Year,10998,40258,51256,40258,51256
Alpena Community College,Michigan,26,Public,2 Year,NA,4530,4530,6840,6840
Alvernia University,Pennsylvania,30,Private,4 Year,NA,34885,34885,34885,34885
Alverno College,Wisconsin,35,Private,4 Year,8546,28302,36848,28302,36848
Alvin Community College,Texas,23,Public,2 Year,NA,4898,4898,4849,4849
Amarillo College,Texas,23,Public,2 Year,NA,2670,2670,5880,5880
Amberton University,Texas,23,Private,4 Year,NA,12840,12840,12840,12840
American Academy McAllister Institute of Funeral Service,New York,25,Private,2 Year,NA,21160,21160,21160,21160
American Academy of Art,Illinois,36,Private,4 Year,NA,34100,34100,34100,34100
American Academy of Dramatic Arts,New York,25,Private,2 Year,21955,35160,53115,35160,53115
American Academy of Dramatic Arts: West,California,6,Private,2 Year,13255,35160,48415,35160,48415
American Baptist College,Tennessee,37,Private,4 Year,8640,10950,48590,10950,48590
American Indian College of the Assemblies of God,Arizona,4,Private,4 Year,6250,958,7208,958,7208
American International College,Massachusetts,38,Private,4 Year,14300,35680,49980,35680,49980
American Jewish University,California,6,Private,4 Year,21362,34926,49498,34926,49498
American National University: Charlottesville,Virginia,27,For Profit,2 Year,NA,49735,49735,49735,49735
American National University: Danville,Virginia,27,For Profit,2 Year,NA,49735,49735,49735,49735
American National University: Harrisonburg,Virginia,27,For Profit,2 Year,NA,49735,49735,49735,49735
American National University: Lynchburg,Virginia,27,For Profit,2 Year,NA,49735,49735,49735,49735
American National University: Martinsville,Virginia,27,For Profit,2 Year,NA,49735,49735,49735,49735
American National University: Salem,Virginia,27,For Profit,4 Year,NA,49735,49735,49735,49735
American  University SystemFor-profit,West Virginia,32,Public,4 Year,NA,8150,8150,8150,8150
American River College,California,6,Public,2 Year,NA,1416,1416,9546,9546
American Samoa Community College,NA,39,Public,2 Year,NA,3700,3700,3700,3700
American University,NA,40,Private,4 Year,14880,48459,63339,48459,63339
American University of Puerto Rico,NA,41,Private,4 Year,NA,6946,6946,6946,6946
Amherst College,Massachusetts,38,Private,4 Year,14740,56426,71166,56426,71166
Amridge University,Alabama,1,Private,4 Year,NA,6900,6900,6900,6900
Ancilla College,Indiana,42,Private,2 Year,9600,21330,26930,21330,26930
Anderson University,South Carolina,28,Private,4 Year,9830,28000,37830,28000,37830
Anderson University,Indiana,42,Private,4 Year,9890,30450,40340,30450,40340
Andrew College,Georgia,12,Private,2 Year,10636,21388,28024,21388,28024
Andrews University,Michigan,26,Private,4 Year,9078,29288,38366,29288,38366
Angelina College,Texas,23,Public,2 Year,5500,2625,8125,5535,11035
Angelo State University,Texas,23,Public,4 Year,9130,8489,21648,20939,30069
Anna Maria College,Massachusetts,38,Private,4 Year,14630,37860,52490,37860,52490
Anne Arundel Community College,Maryland,20,Public,2 Year,NA,4110,4110,12490,12490
Anoka Technical College,Minnesota,24,Public,2 Year,NA,5584,5584,5584,5584
Anoka-Ramsey Community College,Minnesota,24,Public,2 Year,NA,5073,5073,5073,5073
Antelope Valley College,California,6,Public,2 Year,NA,1420,1420,9760,9760
Antioch College,Ohio,33,Private,4 Year,7640,35749,43358,35749,43358
Antioch University Los Angeles,California,6,Private,4 Year,NA,20670,20670,20670,20670
Antioch University Midwest,Ohio,33,Private,4 Year,NA,16380,16380,16380,16380
Antioch University Santa Barbara,California,6,Private,4 Year,NA,22575,22575,22575,22575
Antioch University Seattle,Washington,44,Private,4 Year,NA,27435,27435,27435,27435
Apex School of Theology,North Carolina,29,Private,4 Year,NA,6200,6200,6200,6200
Appalachian Bible College,West Virginia,32,Private,4 Year,7960,14720,22680,14720,22680
Appalachian State University,North Carolina,29,Public,4 Year,8304,7384,15549,22038,30325
Aquinas College,Michigan,26,Private,4 Year,9332,32574,44806,32574,44806
Aquinas College,Tennessee,37,Private,4 Year,NA,23600,23600,23600,23600
Arapahoe Community College,Colorado,8,Public,2 Year,NA,4811,4811,49671,49671
Arcadia University,Pennsylvania,30,Private,4 Year,13800,43580,57380,43580,57380
Arizona Christian University,Arizona,4,Private,4 Year,10674,26796,37470,26796,37470
Arizona State University,Arizona,4,Public,4 Year,12648,10822,23470,28336,40984
Arizona Western College,Arizona,4,Public,2 Year,6700,2520,9220,9510,16380
Arkansas Baptist College,Arkansas,5,Private,4 Year,8826,8760,21586,8760,21586
Arkansas Northeastern College,Arkansas,5,Public,2 Year,NA,2450,2450,4250,4250
Arkansas State University,Arkansas,5,Public,4 Year,8160,8608,16768,15298,23458
Arkansas State University Mid-South,Arkansas,5,Public,2 Year,NA,3274,3274,5014,5014
Arkansas State University: Beebe,Arkansas,5,Public,2 Year,5280,3600,8880,5760,11040
Arkansas State University: Mountain Home,Arkansas,5,Public,2 Year,NA,3570,3570,5580,5580
Arkansas State University: Newport,Arkansas,5,Public,2 Year,NA,3480,3480,5310,5310
Arkansas Tech University,Arkansas,5,Public,4 Year,7870,9068,16938,15848,23749
Arlington Baptist University,Texas,23,Private,4 Year,6500,13480,48690,13480,48690
Armstrong State University,Georgia,12,Public,4 Year,11385,6384,21769,48866,31251
Art Academy of Cincinnati,Ohio,33,Private,4 Year,6700,33889,40589,33889,40589
Art Center College of Design,California,6,Private,4 Year,NA,43416,43416,43416,43416
Art Institute of Houston,Texas,23,For Profit,4 Year,9600,24024,33624,24024,33624
Art Institute of Philadelphia,Pennsylvania,30,For Profit,4 Year,NA,14850,14850,14850,14850
Art Institute of Phoenix,Arizona,4,For Profit,4 Year,10928,38645,32573,38645,32573
Art Institute of Pittsburgh,Pennsylvania,30,For Profit,4 Year,2758,23376,26134,23376,26134
39A College,New York,25,For Profit,2 Year,9500,14065,23565,14065,23565
Asbury University,Kentucky,21,Private,4 Year,7160,30488,37358,30488,37358
Asheville-Buncombe Technical Community College,North Carolina,29,Public,2 Year,NA,2354,2354,8114,8114
Ashford University,California,6,For Profit,4 Year,NA,13860,13860,13860,13860
Ashland Community and Technical College,Kentucky,21,Public,2 Year,NA,5310,5310,49000,49000
Ashland University,Ohio,33,Private,4 Year,9941,38342,31283,38342,31283
Ashworth College,Georgia,12,For Profit,2 Year,NA,1399,1399,1399,1399
Asnuntuck Community College,Connecticut,9,Public,2 Year,NA,4404,4404,13210,13210
Assumption College,Massachusetts,38,Private,4 Year,12694,40958,53652,40958,53652
Assumption College for Sisters,New Jersey,45,Private,2 Year,NA,5888,5888,5888,5888
Athens State University,Alabama,1,Public,4 Year,NA,6810,6810,12870,12870
Athens Technical College,Georgia,12,Public,2 Year,NA,3292,3292,5962,5962
Atlanta Metropolitan State College,Georgia,12,Public,2 Year,NA,4008,4008,12088,12088
Atlanta Technical College,Georgia,12,Public,2 Year,NA,3350,3350,6020,6020
Atlantic Cape Community College,New Jersey,45,Public,2 Year,NA,5096,5096,8096,8096
Atlantic University College,NA,41,Private,4 Year,NA,4525,4525,4525,4525
Auburn University,Alabama,1,Public,4 Year,13332,11276,24608,30524,43856
Auburn University at Montgomery,Alabama,1,Public,4 Year,6980,10288,21268,22048,29028
Augsburg University,Minnesota,24,Private,4 Year,10280,38800,49080,38800,49080
Augusta Technical College,Georgia,12,Public,2 Year,NA,3494,3494,6164,6164
Augusta University,Georgia,12,Public,4 Year,9640,10758,20398,29796,39436
Augustana College,Illinois,36,Private,4 Year,10572,43835,52707,43835,52707
Augustana University,South Dakota,46,Private,4 Year,8248,33049,41266,33049,41266
Aultman College of Nursing and Health Sciences,Ohio,33,Private,2 Year,NA,49510,49510,49510,49510
Aurora University,Illinois,36,Private,4 Year,12100,24260,35960,24260,35960
Austin College,Texas,23,Private,4 Year,12527,39985,52512,39985,52512
Austin Community College,Texas,23,Public,2 Year,NA,2550,2550,13020,13020
Austin Graduate School of Theology,Texas,23,Private,4 Year,NA,14800,14800,14800,14800
Austin Peay State University,Tennessee,37,Public,4 Year,10700,8411,48111,24467,35167
Ave Maria University,Florida,11,Private,4 Year,11436,20850,32286,20850,32286
Averett University,Virginia,27,Private,4 Year,9976,34400,44376,34400,44376
Avila University,Missouri,47,Private,4 Year,7200,48900,27100,48900,27100
Azusa Pacific University,California,6,Private,4 Year,10076,38880,48956,38880,48956
Babson College,Massachusetts,38,Private,4 Year,16312,51104,67416,51104,67416
Baker University,Kansas,16,Private,4 Year,8410,29830,38240,29830,38240
Bakersfield College,California,6,Public,2 Year,NA,1449,1449,7838,7838
Baldwin Wallace University,Ohio,33,Private,4 Year,9554,32586,43840,32586,43840
Ball State University,Indiana,42,Public,4 Year,10234,9896,20130,26468,36702
Baltimore City Community College,Maryland,20,Public,2 Year,NA,2893,2893,6973,6973
Baptist Bible College,Missouri,47,Private,4 Year,7500,14150,38650,14150,38650
Baptist College of Florida,Florida,11,Private,4 Year,4612,12300,16912,12300,16912
Baptist College of Health Sciences,Tennessee,37,Private,4 Year,2900,14700,21600,14700,21600
Baptist Missionary Association Theological Seminary,Texas,23,Private,4 Year,3150,6690,9840,6690,9840
Baptist University of the Americas,Texas,23,Private,4 Year,2500,7800,10300,7800,10300
Barclay College,Kansas,16,Private,4 Year,9300,48690,28990,48690,28990
Bard College,New York,25,Private,4 Year,15488,54680,70168,54680,70168
Bard College at Simon's Rock,Massachusetts,38,Private,4 Year,14916,55732,70648,55732,70648
Barnard College,New York,25,Private,4 Year,21225,55032,72257,55032,72257
Barry University,Florida,11,Private,4 Year,11100,29850,40950,29850,40950
Barstow Community College,California,6,Public,2 Year,NA,1391,1391,9131,9131
Barton College,North Carolina,29,Private,4 Year,10120,30880,41000,30880,41000
Barton County Community College,Kansas,16,Public,2 Year,5794,3440,9234,3440,9234
Bastyr University,Washington,44,Private,4 Year,7590,26166,33756,26166,33756
Bates College,Maine,48,Private,4 Year,15224,53794,69049,53794,69049
Bates Technical College,Washington,44,Public,2 Year,NA,4783,4783,10384,10384
Baton Rouge Community College,Louisiana,49,Public,2 Year,NA,3981,3981,8059,8059
Bay College,Michigan,26,Public,2 Year,3200,4830,8030,8910,13810
Bay Mills Community College,Michigan,26,Public,2 Year,NA,3250,3250,3250,3250
Bay Path University,Massachusetts,38,Private,4 Year,12799,34225,47024,34225,47024
Bay State College,Massachusetts,38,For Profit,2 Year,13300,27750,41050,27750,41050
Bayamon Central University,NA,41,Private,4 Year,NA,5775,5775,5775,5775
Baylor University,Texas,23,Private,4 Year,12595,45727,58322,45727,58322
Beacon College,Florida,11,Private,4 Year,11390,39016,50406,39016,50406
Beaufort County Community College,North Carolina,29,Public,2 Year,NA,2344,2344,8104,8104
Becker College,Massachusetts,38,Private,4 Year,13800,39200,53000,39200,53000
Beckfield College,Kentucky,21,For Profit,4 Year,NA,4000,4000,4000,4000
Beis Medrash Heichal Dovid,New York,25,Private,4 Year,4500,9500,14000,9500,14000
Belhaven University,Mississippi,31,Private,4 Year,8500,25300,33800,25300,33800
Bellarmine University,Kentucky,21,Private,4 Year,12250,42200,54450,42200,54450
Bellevue College,Washington,44,Public,2 Year,NA,4258,4258,9689,9689
Bellevue University,Nebraska,50,Private,4 Year,8730,9390,49120,9390,49120
Bellin College,Wisconsin,35,Private,4 Year,NA,22218,22218,22218,22218
Bellingham Technical College,Washington,44,Public,2 Year,NA,2790,2790,3460,3460
Belmont Abbey College,North Carolina,29,Private,4 Year,10355,49500,28855,49500,28855
Belmont College,Ohio,33,Public,2 Year,NA,4973,4973,8070,8070
Belmont University,Tennessee,37,Private,4 Year,13820,34310,46430,34310,46430
Beloit College,Wisconsin,35,Private,4 Year,8830,50040,58870,50040,58870
Bemidji State University,Minnesota,24,Public,4 Year,8408,8696,21104,8696,21104
Benedict College,South Carolina,28,Private,4 Year,6200,16600,22800,16600,22800
Benedictine College,Kansas,16,Private,4 Year,10300,29530,39830,29530,39830
Benedictine University,Illinois,36,Private,4 Year,9480,34290,43770,34290,43770
Benjamin Franklin Institute of Technology,Massachusetts,38,Private,2 Year,12400,49690,31090,49690,31090
Bennett College for Women,North Carolina,29,Private,4 Year,8114,49513,26627,49513,26627
Bennington College,Vermont,51,Private,4 Year,15610,54360,69970,54360,69970
Bentley University,Massachusetts,38,Private,4 Year,16320,49880,66200,49880,66200
Berea College,Kentucky,21,Private,4 Year,6764,39990,46754,39990,46754
Bergen Community College,New Jersey,45,Public,2 Year,NA,5610,5610,10650,10650
Bergin University of Canine Studies,California,6,Private,4 Year,NA,9450,9450,9450,9450
Berkeley City College,California,6,Public,2 Year,NA,1432,1432,9622,9622
Berklee College of Music,Massachusetts,38,Private,4 Year,49490,42750,60930,42750,60930
Berkshire Community College,Massachusetts,38,Public,2 Year,NA,8569,8569,15589,15589
Berry College,Georgia,12,Private,4 Year,12770,36556,49326,36556,49326
Beth Hatalmud Rabbinical College,New York,25,Private,4 Year,NA,12150,12150,12150,12150
Beth Medrash Govoha,New Jersey,45,Private,4 Year,4212,38388,25560,38388,25560
Bethany College,Kansas,16,Private,4 Year,10605,28475,39080,28475,39080
Bethany College,West Virginia,32,Private,4 Year,10580,29773,40353,29773,40353
Bethany Lutheran College,Minnesota,24,Private,4 Year,8100,27650,35750,27650,35750
Bethel College,Indiana,42,Private,4 Year,9000,28590,37590,28590,37590
Bethel College,Kansas,16,Private,4 Year,8850,28780,37630,28780,37630
Bethel University,Tennessee,37,Private,4 Year,9488,16552,25750,16552,25750
Bethel University,Minnesota,24,Private,4 Year,10520,37300,47820,37300,47820
Bethesda University of California,California,6,Private,4 Year,NA,8350,8350,8350,8350
Bethune-Cookman University,Florida,11,Private,4 Year,9412,14814,24226,14814,24226
Beulah Heights University,Georgia,12,Private,4 Year,6000,9880,15880,9880,15880
Beverly Hills Design Institute,California,6,Private,4 Year,NA,31060,31060,31060,31060
Bevill State Community College,Alabama,1,Public,2 Year,1300,4770,6070,8640,9940
Big Bend Community College,Washington,44,Public,2 Year,3537,4272,7809,9703,13240
Big Sandy Community and Technical College,Kentucky,21,Public,2 Year,NA,5310,5310,49000,49000
Biola University,California,6,Private,4 Year,10730,40488,51249,40488,51249
Birmingham-Southern College,Alabama,1,Private,4 Year,12350,21650,30000,21650,30000
Bishop State Community College,Alabama,1,Public,2 Year,NA,4740,4740,8610,8610
Bismarck State College,North Dakota,53,Public,2 Year,7794,4790,12584,6785,14579
Black Hawk College,Illinois,36,Public,2 Year,NA,4470,4470,7650,7650
Black Hills State University,South Dakota,46,Public,4 Year,6978,8733,15711,12178,49756
Black River Technical College,Arkansas,5,Public,2 Year,NA,3660,3660,6510,6510
Blackburn College,Illinois,36,Private,4 Year,7930,22410,30340,22410,30340
Blackfeet Community College,Montana,22,Public,2 Year,6787,3590,10377,3590,10377
Blackhawk Technical College,Wisconsin,35,Public,2 Year,NA,4340,4340,6623,6623
Bladen Community College,North Carolina,29,Public,2 Year,NA,2528,2528,8672,8672
Blessing-Rieman College of Nursing & Health Sciences,Illinois,36,Private,4 Year,NA,25250,25250,25250,25250
Blinn College,Texas,23,Public,2 Year,8103,3540,11643,10050,49153
Bloomfield College,New Jersey,45,Private,4 Year,14850,29550,41500,29550,41500
Bloomsburg University of Pennsylvania,Pennsylvania,30,Public,4 Year,9686,10958,20644,22532,32249
Blue Mountain College,Mississippi,31,Private,4 Year,6294,12584,49878,12584,49878
Blue Mountain Community College,Oregon,54,Public,2 Year,NA,6498,6498,15908,15908
Blue Ridge Community and Technical College,West Virginia,32,Public,2 Year,NA,4128,4128,7464,7464
Blue Ridge Community College,North Carolina,29,Public,2 Year,NA,2365,2365,8125,8125
Blue Ridge Community College,Virginia,27,Public,2 Year,NA,5364,5364,11292,11292
Bluefield College,Virginia,27,Private,4 Year,9024,25290,34314,25290,34314
Bluefield State College,West Virginia,32,Public,4 Year,NA,8820,8820,16920,16920
Bluegrass Community and Technical College,Kentucky,21,Public,2 Year,NA,5310,5310,49000,49000
Bluffton University,Ohio,33,Private,4 Year,10800,32766,43566,32766,43566
Bob Jones University,South Carolina,28,Private,4 Year,6976,49150,25126,49150,25126
Boise Bible College,Idaho,15,Private,4 Year,6200,12520,49720,12520,49720
Boise State University,Idaho,15,Public,4 Year,10692,7694,49386,23776,34468
Bolivar Technical College,Missouri,47,Private,2 Year,NA,49292,49292,49292,49292
Boricua College,New York,25,Private,4 Year,NA,11025,11025,11025,11025
Bossier Parish Community College,Louisiana,49,Public,2 Year,NA,4283,4283,8960,8960
Boston Architectural College,Massachusetts,38,Private,4 Year,13280,24994,35214,24994,35214
Boston Baptist College,Massachusetts,38,Private,4 Year,7810,12600,20410,12600,20410
Boston College,Massachusetts,38,Private,4 Year,14478,55464,69942,55464,69942
Boston Conservatory at Berklee,Massachusetts,38,Private,4 Year,49360,46020,64380,46020,64380
Boston University,Massachusetts,38,Private,4 Year,15720,53948,69668,53948,69668
Bowdoin College,Maine,48,Private,4 Year,14698,53922,68620,53922,68620
Bowie State University,Maryland,20,Public,4 Year,10904,8233,48137,49873,29777
Bowling Green State University,Ohio,33,Public,4 Year,9168,11105,20273,48093,28261
Bowling Green State University: Firelands College,Ohio,33,Public,2 Year,NA,4912,4912,12901,12901
Bradley University,Illinois,36,Private,4 Year,10620,33760,44380,33760,44380
Brandeis University,Massachusetts,38,Private,4 Year,15440,55395,70835,55395,70835
Brandman University,California,6,Private,4 Year,NA,15380,15380,15380,15380
Brazosport College,Texas,23,Public,2 Year,NA,2715,2715,5355,5355
Brenau University,Georgia,12,Private,4 Year,12449,29050,41468,29050,41468
Brescia University,Kentucky,21,Private,4 Year,9200,22400,31600,22400,31600
Brevard College,North Carolina,29,Private,4 Year,9900,29350,39250,29350,39250
Brewton-Parker College,Georgia,12,Private,4 Year,7850,49690,26540,49690,26540
Briar Cliff University,Iowa,34,Private,4 Year,9020,34864,40984,34864,40984
BridgeValley Community and Technical College,West Virginia,32,Public,2 Year,NA,5460,5460,13020,13020
Bridgewater College,Virginia,27,Private,4 Year,12720,35160,47880,35160,47880
Bridgewater State University,Massachusetts,38,Public,4 Year,13090,10367,23457,16507,29597
Brigham Young University,Utah,55,Private,4 Year,7628,5620,13248,5620,13248
Brigham Young University-Hawaii,Hawaii,13,Private,4 Year,6586,5560,13846,5560,13846
Brigham Young University-Idaho,Idaho,15,Private,4 Year,4592,4149,8710,4149,8710
Bristol Community College,Massachusetts,38,Public,2 Year,NA,5970,5970,13850,13850
Brookdale Community College,New Jersey,45,Public,2 Year,NA,5386,5386,9281,9281
Brookhaven College,Texas,23,Public,2 Year,NA,2170,2170,5220,5220
Broome Community College,New York,25,Public,2 Year,14949,5482,21300,10380,22028
Broward College,Florida,11,Public,2 Year,NA,3540,3540,11480,11480
Brown University,Rhode Island,56,Private,4 Year,14670,55656,70326,55656,70326
Brunswick Community College,North Carolina,29,Public,2 Year,NA,2380,2380,8140,8140
Bryan College of Health Sciences,Nebraska,50,Private,4 Year,NA,49270,49270,49270,49270
Bryan College: Dayton,Tennessee,37,Private,4 Year,7500,26800,34300,26800,34300
Bryan University: Rogers,Arkansas,5,For Profit,2 Year,NA,10230,10230,10230,10230
Bryant University,Rhode Island,56,Private,4 Year,15702,43973,59675,43973,59675
Bryn Athyn College,Pennsylvania,30,Private,4 Year,14986,22815,34701,22815,34701
Bryn Mawr College,Pennsylvania,30,Private,4 Year,16500,52360,68860,52360,68860
Bucknell University,Pennsylvania,30,Private,4 Year,13662,56092,69754,56092,69754
Bucks County Community College,Pennsylvania,30,Public,2 Year,1500,5660,7160,14660,16160
Buena Vista University,Iowa,34,Private,4 Year,9538,34004,43542,34004,43542
Bunker Hill Community College,Massachusetts,38,Public,2 Year,NA,5580,5580,12160,12160
Butler Community College,Kansas,16,Public,2 Year,5950,3490,9130,5310,11260
Butler County Community College,Pennsylvania,30,Public,2 Year,NA,4950,4950,10950,10950
Butler University,Indiana,42,Private,4 Year,13830,41120,54950,41120,54950
Butte College,California,6,Public,2 Year,NA,1498,1498,8549,8549
Cabarrus College of Health Sciences,North Carolina,29,Private,4 Year,NA,13484,13484,13484,13484
Cabrillo College,California,6,Public,2 Year,NA,1500,1500,9300,9300
Cabrini University,Pennsylvania,30,Private,4 Year,12266,34820,44496,34820,44496
Cairn University,Pennsylvania,30,Private,4 Year,10294,27279,37573,27279,37573
Caldwell Community College and Technical Institute,North Carolina,29,Public,2 Year,NA,2356,2356,8116,8116
Caldwell University,New Jersey,45,Private,4 Year,12025,34715,46740,34715,46740
Calhoun Community College,Alabama,1,Public,2 Year,NA,4840,4840,8690,8690
California Baptist University,California,6,Private,4 Year,13860,33478,45638,33478,45638
California Christian College,California,6,Private,4 Year,4950,9570,14520,9570,14520
California Coast University,California,6,For Profit,4 Year,NA,4500,4500,4500,4500
California College of the Arts,California,6,Private,4 Year,10136,49138,59274,49138,59274
California Institute of Integral Studies,California,6,Private,4 Year,NA,20230,20230,20230,20230
California Institute of Technology,California,6,Private,4 Year,15525,52362,67887,52362,67887
California Institute of the Arts,California,6,Private,4 Year,12069,49276,61345,49276,61345
California Lutheran University,California,6,Private,4 Year,13779,42693,56472,42693,56472
California Maritime Academy,California,6,Public,4 Year,12576,7135,48711,13273,25849
California Miramar University,California,6,Private,4 Year,NA,12490,12490,12490,12490
California Northstate University College of Health Sciences,California,6,Private,4 Year,NA,32500,32500,32500,32500
California Polytechnic State University: San Luis Obispo,California,6,Public,4 Year,13796,9816,23612,38696,35492
California State Polytechnic University: Pomona,California,6,Public,4 Year,21358,7353,24711,48233,36591
California State University: Bakersfield,California,6,Public,4 Year,13746,7147,20893,48027,32773
California State University: Channel Islands,California,6,Public,4 Year,16954,6821,23771,49697,35651
California State University: Chico,California,6,Public,4 Year,12980,7649,20598,21122,30102
California State University: Dominguez Hills,California,6,Public,4 Year,12540,6837,48377,49721,31257
California State University: East Bay,California,6,Public,4 Year,13980,6834,20814,49714,32694
California State University: Fresno,California,6,Public,4 Year,10587,6585,21212,49465,29052
California State University: Fullerton,California,6,Public,4 Year,15898,6870,22768,49750,34648
California State University: Long Beach,California,6,Public,4 Year,13312,6798,20110,49678,34890
California State University: Los Angeles,California,6,Public,4 Year,13407,6639,20046,49548,34826
California State University: Monterey Bay,California,6,Public,4 Year,12234,7143,48377,48023,31257
California State University: Northridge,California,6,Public,4 Year,11122,6888,49010,21622,28744
California State University: Sacramento,California,6,Public,4 Year,14396,7204,38600,48084,33480
California State University: San Bernardino,California,6,Public,4 Year,12711,6656,48367,13064,25775
California State University: San Marcos,California,6,Public,4 Year,13227,7648,20875,48166,32393
California State University: Stanislaus,California,6,Public,4 Year,10542,7076,21649,20290,30832
California University of Management and Sciences,California,6,Private,4 Year,NA,10410,10410,10410,10410
California University of Pennsylvania,Pennsylvania,30,Public,4 Year,10496,11108,38294,14966,25152
Calumet College of St. Joseph,Indiana,42,Private,4 Year,NA,48870,48870,48870,48870
Calvary University,Missouri,47,Private,4 Year,5492,11164,16656,11164,16656
Calvin College,Michigan,26,Private,4 Year,10200,34600,44800,34600,44800
Cambridge College,Massachusetts,38,Private,4 Year,NA,13040,13040,13040,13040
Camden County College,New Jersey,45,Public,2 Year,NA,4320,4320,4440,4440
Cameron University,Oklahoma,78,Public,4 Year,5452,6450,14802,15870,38322
Campbell University,North Carolina,29,Private,4 Year,11430,32500,43930,32500,43930
Campbellsville University,Kentucky,21,Private,4 Year,8000,25400,33400,25400,33400
Canada College,California,6,Public,2 Year,NA,1440,1440,8670,8670
Canisius College,New York,25,Private,4 Year,11300,28488,39788,28488,39788
Cankdeska Cikana Community College,North Dakota,53,Public,2 Year,NA,4050,4050,4050,4050
Cape Cod Community College,Massachusetts,38,Public,2 Year,NA,6330,6330,12510,12510
Cape Fear Community College,North Carolina,29,Public,2 Year,NA,2590,2590,8350,8350
Capella University,Minnesota,24,For Profit,4 Year,NA,13788,13788,13788,13788
Capital Community College,Connecticut,9,Public,2 Year,NA,4404,4404,13212,13212
Capital University,Ohio,33,Private,4 Year,10842,35466,46308,35466,46308
Capitol Technology University,Maryland,20,Private,4 Year,5708,25428,31136,25428,31136
Cardinal Stritch University,Wisconsin,35,Private,4 Year,8440,29998,38438,29998,38438
Career College of Northern Nevada,Nevada,17,For Profit,2 Year,NA,11250,11250,11250,11250
Careers Unlimited,Utah,55,For Profit,2 Year,NA,22841,22841,22841,22841
Caribbean University,NA,41,Private,4 Year,NA,6570,6570,6570,6570
Carl Albert State College,Oklahoma,78,Public,2 Year,4000,3849,7849,7943,14843
Carl Sandburg College,Illinois,36,Public,2 Year,NA,5000,5000,8330,8330
Carleton College,Minnesota,24,Private,4 Year,14085,54759,68844,54759,68844
Carlos Albizu University,Florida,11,Private,4 Year,NA,10234,10234,10234,10234
Carlos Albizu University: San Juan,NA,41,Private,4 Year,NA,5912,5912,5912,5912
Carlow University,Pennsylvania,30,Private,4 Year,11442,29454,40896,29454,40896
Carnegie Mellon University,Pennsylvania,30,Private,4 Year,14449,55465,69883,55465,69883
