name,state,id,type,degree_length,room_and_board,in_state_tuition,in_state_total,out_of_state_tuition,out_of_state_total
Gupton Jones College of Funeral Service,Georgia,12,Private,2 Year,NA,12150,12150,12150,12150
Gustavus Adolphus College,Minnesota,24,Private,4 Year,9910,45400,55310,45400,55310
Gutenberg College,Oregon,54,Private,4 Year,5000,13650,49650,13650,49650
Gwinnett College,Georgia,12,For Profit,2 Year,NA,9850,9850,9850,9850
Gwinnett Technical College,Georgia,12,Public,2 Year,NA,3506,3506,6216,6216
Gwynedd Mercy University,Pennsylvania,30,Private,4 Year,12370,35600,47970,35600,47970
Hagerstown Community College,Maryland,20,Public,2 Year,NA,4050,4050,7920,7920
Halifax Community College,North Carolina,29,Public,2 Year,NA,2452,2452,8382,8382
Hamilton College,New York,25,Private,4 Year,13870,54620,68490,54620,68490
Hamline University,Minnesota,24,Private,4 Year,10358,41298,51656,41298,51656
Hampden-Sydney College,Virginia,27,Private,4 Year,13558,45746,59304,45746,59304
Hampshire College,Massachusetts,38,Private,4 Year,13606,51668,65274,51668,65274
Hampton University,Virginia,27,Private,4 Year,12178,26702,38480,26702,38480
Hannibal-LaGrange University,Missouri,47,Private,4 Year,8108,22750,30858,22750,30858
Hanover College,Indiana,42,Private,4 Year,11580,37670,49250,37670,49250
Harcum College,Pennsylvania,30,Private,2 Year,10200,24200,34400,24200,34400
Hardin-Simmons University,Texas,23,Private,4 Year,8080,28990,37070,28990,37070
Harding University,Arkansas,5,Private,4 Year,7044,20135,27219,20135,27219
Harford Community College,Maryland,20,Public,2 Year,NA,4644,4644,10075,10075
Harper College,Illinois,36,Public,2 Year,NA,4578,4578,14553,14553
Harris-Stowe State University,Missouri,47,Public,4 Year,9250,5340,14590,9973,48223
Harrisburg Area Community College,Pennsylvania,30,Public,2 Year,NA,6683,6683,9135,9135
Harrisburg University of Science and Technology,Pennsylvania,30,Private,4 Year,6800,23900,30700,23900,30700
Hartnell College,California,6,Public,2 Year,NA,1400,1400,8870,8870
Hartwick College,New York,25,Private,4 Year,12460,45510,57970,45510,57970
Harvard College,Massachusetts,38,Private,4 Year,21160,50420,67580,50420,67580
Harvey Mudd College,California,6,Private,4 Year,49127,56876,75003,56876,75003
Haskell Indian Nations University,Kansas,16,Public,4 Year,950,480,1430,480,1430
Hastings College,Nebraska,50,Private,4 Year,9700,30050,39750,30050,39750
Haverford College,Pennsylvania,30,Private,4 Year,16402,54592,70994,54592,70994
Hawaii Pacific University,Hawaii,13,Private,4 Year,14800,25980,40780,25980,40780
Hawaii Tokai International College,Hawaii,13,Private,2 Year,9000,13485,22485,13485,22485
Hawkeye Community College,Iowa,34,Public,2 Year,NA,6360,6360,6600,6600
Haywood Community College,North Carolina,29,Public,2 Year,NA,2383,2383,8143,8143
Hazard Community and Technical College,Kentucky,21,Public,2 Year,NA,5310,5310,49000,49000
Heartland Community College,Illinois,36,Public,2 Year,NA,4590,4590,13110,13110
Hebrew Theological College,Illinois,36,Private,4 Year,12380,12920,25300,12920,25300
Heidelberg University,Ohio,33,Private,4 Year,10400,31000,41400,31000,41400
Helena College University of Montana,Montana,22,Public,2 Year,NA,3349,3349,9083,9083
Helene Fuld College of Nursing,New York,25,Private,2 Year,NA,38286,38286,38286,38286
Hellenic College/Holy Cross,Massachusetts,38,Private,4 Year,16482,22490,38682,22490,38682
Henderson Community College,Kentucky,21,Public,2 Year,NA,5550,5550,49000,49000
Henderson State University,Arkansas,5,Public,4 Year,7504,8436,15940,10086,21590
